070919     9.4    17.8  0  0
070920 -9999.0 -9999.0  3  3
070921    11.6    17.2  2  2
070922     4.2    20.5  0  0
070923     7.0    11.8  1  1
070924 -9999.0 -9999.0  3  3
070925    -0.6     9.9  1  1
070926    11.7    16.9  2  2
070927     8.6    21.2  0  0
070928     6.9    25.3  0  0
070929    10.5    26.2  0  0
070930    16.6    21.7  1  1
071001 -9999.0 -9999.0  3  3
071002 -9999.0 -9999.0  3  3
071003    18.0    23.9  2  2
071004    18.0    23.6  2  2
071005    17.5    19.3  2  2
071006    13.9    22.2  2  2
071007     4.8    18.6  0  0
071008     9.6    15.0  1  1
071009    12.4    18.0  0  0
071010 -9999.0 -9999.0  3  3
071011    11.8    14.1  2  2
071012    12.2    13.4  1  1
071013     7.7    17.7  0  0
071014    14.3    20.7  2  2
071015     9.0    20.9  0  0
071016    11.6    15.5  1  1
071017    20.7    28.0  2  2
071018    13.4    24.7  0  0
071019    11.7    29.3  0  0
071020    15.2    24.9  0  0
071021    17.7    25.6  2  2
071022    10.1    26.8  0  0
071023    21.0    28.0  2  2
071024    22.2    28.1  2  2
071025    19.4    24.4  1  1
071026    16.1    28.2  2  0
071027 -9999.0 -9999.0  3  3
071028    13.1    21.0  1  1
071029    11.7    23.4  1  1
071030    14.0    24.6  0  0
071031    15.4    21.2  0  0
071101     5.5    21.9  0  0
071102 -9999.0 -9999.0  3  3
071103    14.6    22.6  1  1
071104     9.0    17.3  2  2
071105    15.9    25.1  2  2
071106 -9999.0 -9999.0  3  3
071107    18.6    27.2  0  0
071108    11.8    21.1  1  1
071109    13.4    21.5  2  2
071110 -9999.0 -9999.0  3  3
071111     4.9    10.5  1  1
071112 -9999.0 -9999.0  3  3
071113    10.8    17.3  0  0
071114 -9999.0 -9999.0  3  3
071115     0.0    10.9  1  1
071116     8.0    25.1  0  0
071117    16.8    29.4  0  0
071118    16.9    26.7  0  0
071119    20.4    30.3  2  2
071120     7.8    26.1  0  0
071121    19.9    27.6  2  2
071122    20.6    31.1  2  2
071123    12.1    25.3  0  0
071124     9.0    17.8  2  2
071125     6.6    25.6  0  0
071126 -9999.0 -9999.0  3  3
071127 -9999.0 -9999.0  3  3
071128    10.3    30.6  0  0
071129    23.7    32.2  2  2
071130    23.4    32.0  2  2
071201    18.0    28.8  0  0
071202    15.9    29.8  0  0
071203    25.5    31.7  2  2
071204    21.8    25.5  1  1
071205     7.3    24.6  0  0
071206    13.8    20.5  1  1
071207 -9999.0 -9999.0  3  3
071208    18.3    27.9  0  0
071209    20.6    31.3  2  2
071210    16.7    24.1  2  2
071211    18.0    25.6  2  2
071212    15.0    30.2  0  0
071213    24.5    32.4  2  2
071214    16.5    26.4  1  1
071215    10.0    21.6  1  1
071216 -9999.0 -9999.0  3  3
071217 -9999.0 -9999.0  3  3
071218    22.0    30.0  2  2
071219    11.3    28.0  0  0
071220    12.5    33.4  0  0
071221 -9999.0 -9999.0  3  3
071222    12.0    26.6  0  0
071223    11.9    23.9  0  0
071224    14.8    30.6  0  0
071225    17.2    28.3  0  0
071227    16.2    24.0  1  1
071228    21.8    29.4  2  2
071229    18.5    29.5  0  0
071230    26.7    36.0  2  2
071231    29.1    37.0  2  2
080101 -9999.0 -9999.0  3  3
080102    22.2    37.5  0  0
080103    19.5    33.8  0  0
080104 -9999.0 -9999.0  3  3
080105    22.4    27.6  2  2
080106    17.7    26.7  1  1
080107    22.2    35.2  0  0
080108    20.6    38.2  0  0
080109    23.6    34.0  0  0
080110    21.5    32.2  1  1
080111    13.3    25.2  0  0
080112     9.0    28.6  0  0
080113    23.8    30.0  2  2
080114    22.7    33.2  0  0
080115    24.1    35.9  0  0
080116    17.4    26.5  0  0
080117    12.6    20.1  1  1
080118    16.9    29.5  0  0
080119    10.6    26.2  0  0
080120    15.3    30.2  0  0
080121    17.4    30.2  0  0
080122    21.5    27.6  0  0
080123    19.8    28.6  0  0
080124    20.7    30.4  0  0
080125    19.9    28.8  0  0
080126    22.0    28.6  0  0
080127    21.3    29.0  2  2
080128    21.3    25.0  2  2
080129    17.4    24.7  1  1
080130    19.4    29.4  0  0
080131    18.6    29.6  0  0
080201    20.1    30.5  0  0
080202    18.6    30.4  0  0
080203    10.8    26.7  0  0
080204    14.3    32.6  0  0
080205    16.6    32.4  0  0
080206    21.3    27.4  1  1
080207    20.3    28.1  0  0
080208    18.0    25.8  0  0
080209    20.1    25.9  0  0
080210    16.4    22.0  1  1
080211    16.7    24.9  2  2
080212    13.2    26.3  0  0
080213    17.7    28.6  0  0
080214    20.4    31.0  0  0
080215    20.3    27.7  1  1
080216    24.0    31.5  2  2
080217    25.0    32.0  2  2
080218    22.4    30.0  0  0
080219    21.7    25.0  1  1
080220    18.0    33.8  0  0
080221    24.7    34.3  2  2
080222    19.3    25.6  0  0
080223    19.8    23.5  1  1
080224    22.2    26.5  2  2
080225    22.3    23.4  1  1
080226    22.5    30.5  0  0
080227    22.0    25.7  1  1
080228    19.3    25.9  2  2
080229    21.4    27.6  2  2
080301    20.0    23.2  1  1
080302    20.2    25.7  2  2
080303 -9999.0 -9999.0  3  3
080304    19.5    25.9  0  0
080305    18.8    24.9  2  2
080306    17.4    23.9  0  0
080307    17.2    24.0  0  0
080308    16.5    29.6  0  0
080309    14.8    25.6  0  0
080310    12.9    22.6  0  0
080311     9.2    22.3  0  0
080312    10.9    24.1  0  0
080313    11.1    26.5  0  0
080314    16.1    26.0  0  0
080315    17.3    27.0  0  0
080316    20.0    29.0  0  0
080317    22.6    29.5  2  2
080318    17.5    28.6  0  0
080319    23.0    24.4  1  1
080320 -9999.0 -9999.0  3  3
080321    14.0    30.4  0  0
080322    13.7    21.7  2  2
080323     9.9    23.3  0  0
080324    12.4    26.2  0  0
080325    15.8    28.6  0  0
080326    17.5    28.6  0  0
080327    16.5    24.4  2  2
080328    15.5    24.3  0  0
080329    13.2    18.5  1  1
080330 -9999.0 -9999.0  3  3
080331    16.7    24.6  0  0
080401    14.9    24.6  2  2
080402    14.0    21.0  0  0
080403     8.4    23.8  0  0
080404    13.3    26.6  0  0
080405    13.2    28.3  0  0
080406    18.4    28.3  0  0
080407    11.9    26.4  0  0
080408    10.7    26.4  0  0
080409    13.5    21.3  1  1
080410    14.9    27.6  0  0
080411    12.6    18.6  2  2
080412     7.4    14.5  2  2
080413     3.0    15.4  0  0
080414     1.6    14.6  0  0
080415     1.5    17.9  0  0
080416     9.5    23.5  0  0
080417    11.1    26.3  0  0
080418    11.9    27.0  0  0
080419    13.1    27.5  0  0
080420    13.8    29.2  0  0
080421    18.5    26.9  0  0
080422    13.3    26.7  0  0
080423    17.3    27.2  0  0
080424    14.6    28.4  2  2
080425    11.6    22.5  2  2
080426    10.5    21.6  0  0
080427    14.5    23.1  2  2
080428    11.2    18.0  0  0
080429     2.0    14.2  0  0
080430     1.4     9.0  1  1
080501     2.8    17.9  0  0
080502     7.0    19.1  2  2
080503     5.5    20.6  0  0
080504     5.6    19.6  0  0
080505     4.0    20.2  0  0
080506     8.5    22.9  0  0
080507    10.0    17.7  2  2
080508     2.4    18.4  0  0
080509     5.0    20.4  0  0
080510     3.6    20.2  0  0
080511     1.9    20.6  0  0
080512     5.6    21.3  0  0
080513     6.5    22.0  0  0
080514     8.4    23.6  0  0
080515    13.5    26.9  0  0
080516    12.1    20.5  0  0
080517    14.9    25.3  0  0
080518    18.8    26.5  0  0
080519    17.0    29.6  0  0
080520    15.0    24.4  0  0
080521    14.8    22.0  0  0
080522    12.3    20.1  0  0
080523    15.2    21.3  0  0
080524     9.7    14.4  2  2
080525     9.9    13.5  0  0
080526     8.4    16.6  0  0
080527    11.6    17.5  0  0
080528     3.0    12.4  0  0
080529    -1.2     9.5  0  0
080530    -2.5    10.6  0  0
080531    -1.6    12.3  2  2
080601    -3.0    13.4  0  0
080602     2.2    14.0  0  0
080603     6.0    16.0  2  2
080604    10.9    13.4  1  1
080605    11.5    20.2  0  0
080606     8.4    18.4  0  0
080607     1.5    18.6  0  0
080608     3.0    14.0  1  1
080609     5.5    11.8  0  0
080610    -0.2    14.7  0  0
080611     7.0    18.6  0  0
080612     0.3    16.3  0  0
080613     3.5    21.2  0  0
080614     5.7    15.2  0  0
080615     4.4    12.2  0  0
080616 -9999.0 -9999.0  3  3
080617     6.5    18.3  0  0
080618    -0.5    15.2  0  0
080619     6.5    11.8  0  0
080620     6.6     9.8  0  0
080621     7.0    13.3  2  2
080622     2.3     8.0  1  1
080623    -0.4    13.5  0  0
080624     2.2    12.1  0  0
080625     7.5    16.7  0  0
080626     7.3    14.6  0  0
080627     6.2    16.1  0  0
080628     6.6    19.0  0  0
080629     5.9    16.4  0  0
080630    10.4    13.8  1  1
080701     8.7    15.5  0  0
080702     5.8    13.6  0  0
080703     4.2    13.0  0  0
080704    10.6    14.5  0  0
080705    12.6    24.8  0  0
080706    14.6    18.4  0  0
080707    10.5    14.1  2  2
080708     6.0    19.7  0  0
080709     3.4    17.7  0  0
080710     9.1    16.7  0  0
080711    10.7    14.3  1  1
080712    16.8    23.9  2  2
080713    10.2    20.7  0  0
080714     7.2    21.6  0  0
080715    19.4    28.7  2  2
080716    17.6    27.5  0  0
080717    11.7    23.3  0  0
080718     5.2    16.3  0  0
080719     7.5    15.3  0  0
080720     3.1    14.4  0  0
080721     6.5    11.5  0  0
080722     9.0    14.2  0  0
080723     1.8    12.5  0  0
080724     6.0     9.4  1  1
080725    -1.4    14.8  0  0
080726     2.6     9.9  1  1
080727     8.2    15.0  0  0
080728     6.8    14.3  0  0
080729     9.8    15.7  0  0
080730     9.5    12.5  0  0
080731     5.2    14.2  0  0
080801     5.5    14.2  0  0
080802     6.8    13.0  0  0
080803    -2.1    11.1  0  0
080804     7.5    11.8  0  0
080805     1.5    14.9  0  0
080806     6.5    17.8  0  0
080807    -0.2    16.5  0  0
080808    -1.2    15.2  0  0
080809     6.2    18.5  0  0
080810    10.0    23.7  0  0
080811    10.0    21.0  0  0
080812     3.2    13.1  0  0
080813    -0.4    17.2  0  0
080814     2.5    17.9  0  0
080815     5.1    20.3  0  0
080816    12.0    17.6  0  0
080817     4.0    13.6  0  0
080818    -0.7    14.2  0  0
080819     3.0    16.8  0  0
080820    11.9    16.0  0  0
080821     4.5    14.5  0  0
080822     0.5    18.9  0  0
080823     4.1    19.2  0  0
080824     5.5    18.3  0  0
080825     1.0    17.6  0  0
080826     7.4    23.5  0  0
080827     9.9    21.0  0  0
080828     7.6    14.7  0  0
080829     2.3    18.5  0  0
080830     4.2    23.7  0  0
080831    13.2    26.0  0  0
080901    14.8    25.5  0  0
080902    20.2    23.1  1  1
080903     4.0    15.1  0  0
080904     3.0    13.2  0  0
080905     0.9    11.1  0  0
080906     3.0     7.0  0  0
080907     7.0    14.9  0  0
080908     3.2    17.9  0  0
080909     9.0    19.2  0  0
080910     8.2    20.2  0  0
080911    12.6    17.9  0  0
080912     2.5    15.9  0  0
080913     1.5     8.5  1  1
080914     2.0    14.6  0  0
080915     6.0    14.9  0  0
080916     1.4    16.6  0  0
080917     9.9    18.9  0  0
080918    10.8    19.6  0  0
080919    13.2    18.8  2  2
080920     9.3    15.7  2  2
080921     8.4    18.5  0  0
080922     9.0    20.0  0  0
080923    11.2    22.4  0  0
080924    11.4    21.8  0  0
080925    10.0    22.2  0  0
080926     7.5    22.1  0  0
080927    15.5    26.0  0  0
080928    15.1    20.6  0  0
080929    13.1    17.9  0  0
080930    10.6    17.8  0  0
081001    11.6    17.7  0  0
081002    10.9    24.1  0  0
081003     6.1    18.3  0  0
081004     5.8    20.0  0  0
081005     2.3    21.0  0  0
081006    11.0    27.3  0  0
081007     7.2    16.5  0  0
081008    11.4    17.1  2  2
081009    11.5    21.8  0  0
081010    13.2    27.0  0  0
081011    15.0    29.3  0  0
081012    14.9    23.2  0  0
081014    11.7    18.4  0  0
081015    11.5    20.5  0  0
081016 -9999.0 -9999.0  3  3
081017     6.1    16.3  1  1
081018     7.2    23.8  0  0
081019    11.1    25.5  0  0
081020    21.5    27.9  2  2
081021    13.2    21.7  0  0
081022     8.2    22.2  0  0
081023    10.4    25.3  0  0
081024    12.1    29.3  0  0
081025    13.0    25.5  0  0
081026    16.5    26.8  0  0
081027     8.0    21.5  0  0
081028    12.2    24.5  0  0
081029    12.9    24.0  0  0
081030     6.4    23.3  0  0
081031    12.8    18.3  1  1
081101 -9999.0 -9999.0  3  3
081102    17.6    24.7  2  2
081103    15.0    29.0  0  0
081104    19.9    33.0  0  0
081105    23.0    34.0  0  0
081106    13.8    30.1  0  0
081107    13.3    30.6  0  0
081108    22.2    30.5  2  2
081109    23.0    31.5  2  2
081110    21.3    28.0  0  0
081111    19.2    29.5  0  0
081112    23.7    31.1  2  2
081113    21.0    30.5  0  0
081114    19.4    32.0  0  0
081115    11.7    26.3  0  0
081116     5.3    22.5  0  0
081117    14.1    29.0  0  0
081118    16.5    26.7  0  0
081119    16.2    26.7  0  0
081120    16.4    20.6  1  1
081121    18.4    27.2  0  0
081122    19.5    30.5  0  0
081123    21.0    32.0  0  0
081124    19.5    34.2  0  0
081125    20.0    36.4  0  0
081126    23.6    33.3  0  0
081127    21.8    35.5  0  0
081128    19.5    29.7  0  0
081129    20.0    24.2  1  1
081130    17.0    23.3  0  0
081201    14.3    17.8  0  0
081202    10.0    22.6  0  0
081203     7.0    25.1  0  0
081204    10.5    23.7  0  0
081205    14.5    27.7  0  0
081206    14.5    29.7  0  0
081207    20.8    31.4  0  0
081208    21.7    33.5  0  0
081209    19.3    30.8  0  0
081210    18.7    27.0  2  2
081211    17.5    26.0  0  0
081212    17.5    25.8  0  0
081213    17.0    28.0  0  0
081214    19.0    29.6  0  0
081215    16.8    29.8  0  0
081216    24.7    31.7  2  2
081217    26.3    32.4  2  2
081218    18.0    31.6  0  0
081219 -9999.0 -9999.0  3  3
081220 -9999.0 -9999.0  3  3
081221 -9999.0 -9999.0  3  3
081222 -9999.0 -9999.0  3  3
081223    22.0    29.2  2  2
